Wall time,Step,Value
1637700154.3186893,10458,0.0
1637701036.2229111,10518,12.5
1637701227.8108928,10561,0.0
1637701279.5757952,10573,0.0
1637701457.6221046,10614,0.0
1637702169.3037624,10633,0.0
1637702219.0676563,10643,0.0
1637702226.8252947,10645,0.0
1637702590.6960318,10717,12.5
1637702620.1714292,10724,0.0
1637702648.1383824,10729,0.0
1637702725.2111986,10745,0.0
1637703558.0468547,10752,0.0
1637703622.5960515,10765,12.5
1637703651.8366184,10771,0.0
1637703843.96233,10809,0.0
1637704026.587709,10842,0.0
1637704912.3313086,10901,0.0
1637705244.429842,10976,0.0
1637706159.1062171,11022,0.0
1637706183.508911,11028,0.0
1637706217.363843,11036,0.0
1637706292.6902626,11054,0.0
1637706652.508368,11133,0.0
1637707410.670559,11170,0.0
1637707631.752999,11218,0.0
1637707667.5787072,11225,0.0
1637707668.3579953,11226,0.0
1637707724.2674417,11238,0.0
1637707808.7705877,11256,0.0
1637708710.057914,11295,0.0
1637708876.0707648,11331,0.0
1637709716.1122067,11394,0.0
1637709778.4202855,11409,0.0
1637709932.418286,11443,12.5
1637709969.1547234,11450,0.0
1637710004.950185,11458,0.0
1637710022.308554,11463,0.0
1637710200.3953652,11503,0.0
1637711038.8523784,11526,0.0
1637711175.8661082,11556,0.0
1637711242.5845861,11570,0.0
1637711281.2307947,11578,0.0
1637711429.667679,11611,0.0
1637712397.0250487,11696,0.0
1637712478.1888616,11713,0.0
1637712575.8536546,11736,0.0
1637712638.4252203,11750,0.0
1637713526.566796,11786,0.0
1637713668.679471,11817,0.0
1637713757.1035297,11836,0.0
1637713819.926163,11851,0.0
1637713945.4328017,11882,0.0
1637714744.79606,11941,0.0
1637714863.2405279,11970,12.5
1637714894.3105145,11977,12.5
1637714965.7854345,11995,12.5
1637715103.4935641,12027,0.0
1637715896.421367,12057,0.0
1637715921.9817383,12063,0.0
1637715945.1239135,12068,0.0
1637715979.9781034,12076,0.0
1637716233.4725013,12135,0.0
1637716947.0316327,12175,0.0
1637716963.3714187,12179,0.0
1637717215.9459429,12238,0.0
1637717248.4411113,12246,0.0
1637718141.5087438,12302,0.0
1637718149.8455014,12304,0.0
1637718165.829229,12308,0.0
1637718201.9466689,12317,12.5
1637718333.4703195,12345,0.0
1637718373.524012,12354,0.0
1637718388.9429944,12359,0.0
1637718422.4831817,12366,0.0
1637719164.9268188,12421,0.0
